,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT3,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,df_pay
0,20000,2,2,1,24,2,2,0,0,0,0,3913,689,0,0,689,0,0,0,0,1
1,120000,2,2,2,26,0,2,0,0,0,2,2682,2682,3261,0,1000,1000,1000,0,2000,1
2,90000,2,2,2,34,0,0,0,0,0,0,29239,13559,15549,1518,1500,1000,1000,1000,5000,0
3,50000,2,2,1,37,0,0,0,0,0,0,46990,49291,29547,2000,2019,1200,1100,1069,1000,0
4,50000,1,2,1,57,0,0,0,0,0,0,8617,35835,19131,2000,36681,10000,9000,689,679,0
5,50000,1,1,2,37,0,0,0,0,0,0,64400,57608,20024,2500,1815,657,1000,1000,800,0
6,500000,1,1,2,29,0,0,0,0,0,0,367965,445007,473944,55000,40000,38000,20239,13750,13770,0
7,100000,2,2,2,23,0,0,0,0,0,0,11876,601,567,380,601,0,581,1687,1542,0
8,140000,2,3,1,28,0,0,2,0,0,0,11285,12108,3719,3329,0,432,1000,1000,1000,0
9,20000,1,3,2,35,0,0,0,0,0,0,0,0,13912,0,0,0,13007,1122,0,0
10,200000,2,3,2,34,0,0,2,0,0,0,11073,5535,3731,2306,12,50,300,3738,66,0
11,260000,2,1,2,51,0,0,0,0,0,2,12261,9966,13668,21818,9966,8583,22301,0,3640,0
12,630000,2,2,2,41,0,0,0,0,0,0,12137,6500,2870,1000,6500,6500,6500,2870,0,0
13,70000,1,2,2,30,1,2,2,0,0,2,65802,65701,36894,3200,0,3000,3000,1500,0,1
14,250000,1,1,2,29,0,0,0,0,0,0,70887,63561,55512,3000,3000,3000,3000,3000,3000,0
15,50000,2,3,3,23,1,2,0,0,0,0,50614,28116,30211,0,1500,1100,1200,1300,1100,0
16,20000,1,1,2,24,0,0,2,2,2,2,15376,17428,19104,3200,0,1500,0,1650,0,1
17,320000,1,1,1,49,0,0,0,0,0,0,253286,194663,195599,10358,10000,75940,20000,195599,50000,0
18,360000,2,1,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,180000,2,1,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,130000,2,3,2,39,0,0,0,0,0,0,38358,24489,930,3000,1537,1000,2000,930,33764,0
21,120000,2,2,1,39,0,0,0,0,0,0,316,316,316,316,316,0,632,316,0,1
22,70000,2,2,2,26,2,0,0,2,2,2,41087,45020,46012,2007,3582,0,3601,0,1820,1
23,450000,2,1,1,40,0,0,0,0,0,0,5512,1473,0,19428,1473,560,0,0,1128,1
24,90000,1,1,2,23,0,0,0,0,0,0,4744,0,8292,5757,0,5398,1200,2045,2000,0
25,50000,1,3,2,23,0,0,0,0,0,0,47620,36023,30046,1973,1426,1001,1432,1062,997,0
26,60000,1,1,2,27,1,0,0,0,0,0,-109,259,-189,0,1000,0,500,0,1000,1
27,50000,2,3,2,30,0,0,0,0,0,0,22541,17163,19617,1300,1300,1000,1500,1000,1012,0
28,50000,2,3,1,47,0,0,0,0,0,0,650,3416,257,3415,3421,2044,30430,257,0,0
29,50000,1,1,2,26,0,0,0,0,0,0,15329,17496,11400,1500,1500,1000,1000,1600,0,0
30,230000,2,1,2,27,0,0,0,0,0,0,16646,13266,36923,17270,13281,15339,14307,37292,0,0
31,50000,1,2,2,33,2,0,0,0,0,0,30518,22102,23680,1718,1500,1000,1000,1000,716,1
32,100000,1,1,2,32,0,0,0,0,0,0,93036,82880,75589,3023,3511,3302,3204,3200,2504,0
33,500000,2,2,1,54,0,0,0,0,0,0,10929,22722,8981,4152,22827,7521,71439,981,51582,0
34,500000,1,1,1,58,0,0,0,0,0,0,13709,31130,5293,5006,31178,3180,0,5293,768,0
35,160000,1,1,2,30,0,0,0,0,0,0,30265,-527,-1884,131,396,396,565,792,0,0
36,280000,1,2,1,40,0,0,0,0,0,0,186503,180422,177413,8026,8060,6300,6400,6400,6737,0
37,60000,2,2,2,22,0,0,0,0,0,0,15054,11068,18660,1500,1518,2043,0,47671,617,0
38,50000,1,1,2,25,1,0,0,0,0,0,0,0,0,780,0,0,0,0,0,1
39,280000,1,1,2,31,0,0,2,0,0,0,498,4641,9477,9075,0,9976,8000,9525,781,0
40,360000,1,1,2,33,0,0,0,0,0,0,218668,206895,179224,10000,7000,6000,188840,28000,4000,0
41,70000,2,1,2,25,0,0,0,0,0,0,67521,63949,65970,3000,4500,4042,2500,2800,2500,0
42,10000,1,2,2,22,0,0,0,0,0,0,1877,6003,4451,1500,2927,1000,300,1000,500,0
43,140000,2,2,1,37,0,0,0,0,0,0,59504,62925,69802,3000,3000,3000,4000,4000,3000,0
44,40000,2,1,2,30,0,0,0,2,0,0,18927,25921,29197,3000,5000,0,2000,3000,0,0
45,210000,1,1,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,20000,2,1,2,22,0,0,2,0,0,0,14028,15800,0,3000,0,16741,334,0,0,1
47,150000,2,4,2,46,0,0,0,0,0,0,4463,1170,0,1013,1170,0,0,0,0,1
48,380000,1,2,2,32,0,0,0,0,0,0,22401,15134,11873,21540,15138,24677,11851,11875,8251,0
49,20000,1,1,2,24,0,0,0,0,0,0,17447,19476,20063,1318,1315,704,928,912,1069,0
50,70000,1,3,2,42,1,2,2,2,2,0,37042,38355,39362,0,3100,2000,0,1500,1500,1
51,100000,2,3,3,43,0,0,0,0,0,0,61559,43824,33258,2000,1606,1500,2000,1500,1000,0
52,310000,2,2,1,49,0,0,0,0,0,0,13465,7600,464,7875,7600,11185,3544,464,0,0
53,180000,2,1,2,25,1,2,0,0,0,0,41402,42758,45319,1300,2010,1762,1762,1790,1622,0
54,150000,2,1,2,29,2,0,0,0,0,0,46224,31434,16540,1600,1718,1049,1500,2000,5000,0
55,500000,2,1,1,45,0,0,0,0,0,0,1905,162,2530,3640,162,0,151,2530,0,0
56,180000,2,3,1,34,0,0,0,0,0,0,16386,8441,8321,8500,1500,7500,679,9000,2000,0
57,180000,2,2,1,34,0,0,0,0,0,0,175886,172308,129918,8083,7296,5253,4814,4816,3800,0
58,200000,2,1,2,34,0,3,2,2,2,2,1587,782,1414,0,0,700,0,1200,0,0
59,400000,2,2,1,29,0,0,0,0,0,0,400134,404205,364089,17000,15029,30000,12000,12000,23000,0
60,500000,2,3,1,28,0,0,0,0,0,0,22848,18878,15571,1516,1300,1000,1000,2000,2000,1
61,70000,1,2,1,39,0,0,0,0,0,0,70800,69938,830,4025,2095,1000,2000,3000,0,0
62,50000,1,1,2,29,2,2,2,2,2,2,24987,26591,28264,0,2700,0,2225,1200,0,1
63,50000,2,2,1,46,0,0,0,0,0,0,28718,0,0,1000,0,0,0,0,0,1
64,130000,2,2,1,51,0,0,0,0,0,0,99,0,0,0,0,0,2353,0,0,0
65,200000,1,1,1,57,0,0,0,0,2,2,152519,144076,7918,0,0,8222,300,0,1000,1
66,10000,1,2,1,56,2,2,2,0,0,0,2097,3978,4326,2300,0,150,200,200,160,1
67,210000,2,1,2,30,2,0,0,0,0,0,300,1159,4250,300,1159,2280,300,4250,909,0
68,130000,2,3,2,29,1,0,0,0,2,0,-190,-9850,7319,0,0,20161,0,7319,13899,0
69,20000,1,4,2,22,2,0,0,0,0,0,18565,17285,5982,0,1200,1000,500,1000,0,0
70,80000,1,1,2,31,0,0,0,0,0,0,780,390,390,0,390,390,390,390,390,0
71,320000,1,2,2,29,2,2,2,2,2,2,58267,60184,63526,2500,2500,0,4800,2400,1600,1
72,200000,2,2,1,32,0,0,0,0,2,0,9076,-684,3151,5818,15,9102,17,3165,1395,0
73,290000,2,1,2,37,1,0,0,0,0,0,0,3155,0,0,3155,0,2359,0,0,0
74,340000,1,1,2,32,0,0,0,0,0,0,3048,23337,25820,5713,23453,4314,80552,25949,2016,0
75,20000,1,2,2,24,0,0,2,0,0,0,14619,16642,18543,2850,0,610,630,1500,0,0
76,50000,1,3,2,25,0,0,0,0,0,0,42838,36087,10030,1759,1779,320,500,1000,1000,0
77,300000,2,1,1,45,0,0,0,0,0,0,291,291,291,291,291,291,291,291,291,0
78,30000,2,2,2,22,0,0,0,0,0,0,28387,30326,6411,1686,1400,560,3000,1765,0,1
79,240000,2,2,2,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,470000,2,3,3,33,0,0,0,0,0,0,165254,162702,29889,6400,7566,3000,960,1000,3000,0
81,360000,2,1,2,26,0,0,0,0,0,0,23411,30400,196,4796,3400,3100,146900,196,2963,0
82,60000,1,3,2,30,0,0,0,0,0,0,26324,28108,19771,1576,1213,648,768,1140,0,1
83,400000,2,2,1,44,0,0,2,0,0,0,131595,126819,94058,10700,3,3050,3000,3200,2800,0
84,50000,2,3,2,49,0,0,0,0,0,0,48909,21489,19482,1676,1302,700,699,849,826,0
85,160000,1,2,2,33,0,0,0,0,0,0,130028,71934,120418,4400,3547,80000,4500,4800,4500,0
86,360000,2,1,1,45,0,0,2,0,0,0,390,780,390,1170,0,0,390,390,390,1
87,160000,2,2,2,32,0,0,0,0,0,0,3826,6604,766,1147,2000,2000,0,766,2303,0
88,130000,2,1,1,35,0,0,0,0,0,0,81313,17740,1190,40000,5000,1330,7095,1190,2090,0
89,20000,1,3,2,44,2,2,0,0,0,2,8583,9651,11970,0,1651,1000,2000,0,1500,0
90,200000,1,1,1,53,2,2,2,2,2,2,138180,142460,149531,6300,5500,5500,5500,5000,5000,1
91,280000,2,1,2,39,0,0,0,0,0,0,7524,3968,0,0,3968,0,0,0,0,0
92,100000,2,1,2,27,0,0,0,0,0,0,-2000,0,0,7555,0,0,0,0,0,0
93,160000,2,2,1,37,0,0,0,0,0,0,880,840,0,1602,840,840,0,0,7736,0
94,60000,2,2,2,23,0,0,0,0,0,0,45648,47214,19323,1937,1301,682,690,816,835,0
95,90000,1,2,2,35,0,0,0,0,0,0,83725,87653,30835,3621,3597,1179,1112,1104,1143,0
96,360000,1,1,1,43,0,0,0,0,0,0,3967,3394,9956,8339,3394,12902,27000,0,68978,0
97,150000,1,1,2,27,0,0,0,0,0,0,86009,89006,40788,4031,10006,3266,4040,1698,800,0
98,50000,2,3,1,22,0,0,0,0,0,0,18722,16997,7899,1411,1194,379,281,321,197,0
99,20000,1,2,1,38,0,0,0,0,0,0,17973,19559,150,1699,1460,626,1750,150,0,1
100,140000,1,1,2,32,0,0,0,0,0,0,672,850,1430,10212,850,415,100,1430,0,0
101,380000,2,1,2,30,0,0,0,0,0,0,-81,32475,34056,223,33178,1171,1197,1250,5000,0
102,480000,1,1,1,63,0,0,0,2,2,0,422069,479432,469961,16078,55693,17000,0,18000,24200,0
103,50000,2,3,2,22,0,0,0,0,0,0,44698,38347,24094,1767,1362,1002,840,995,904,1
104,60000,2,2,2,26,2,2,2,2,2,0,56685,59175,55305,0,5000,2511,6,3000,3000,0
105,70000,2,2,2,24,0,0,0,0,0,0,5580,0,26529,0,0,0,0,26529,2000,0
106,80000,2,2,1,36,0,0,0,0,0,0,6108,3277,1150,2861,3279,3319,1150,1150,1035,0
107,350000,1,1,2,52,0,0,0,0,0,0,713,722,5263,2272,722,867,1150,5263,5011,0
108,130000,1,2,2,38,0,0,0,0,0,0,171438,39940,126568,10908,0,133657,4566,133841,4796,0
109,360000,1,2,1,35,1,0,0,0,0,0,-103,-103,-103,0,0,0,0,0,0,0
110,330000,2,1,1,31,0,0,2,0,0,0,105879,105594,107289,9260,0,3593,4100,15794,0,0
111,50000,1,3,1,47,0,0,2,0,0,0,13244,15181,17393,2000,1000,1000,1000,1000,1000,0
112,280000,1,2,1,41,2,2,2,2,2,3,135673,134813,149415,6500,0,14254,14850,0,5000,0
113,100000,2,1,2,24,0,0,0,0,0,0,52128,54477,59713,2000,2677,3076,5080,3000,2033,0
114,50000,1,2,2,41,0,0,0,0,0,0,19015,20259,19957,1340,1305,700,718,724,684,0
115,30000,1,1,2,24,0,2,0,0,3,2,18199,18631,21201,0,1312,3000,0,1000,1000,1
116,240000,1,1,2,28,0,0,0,0,0,0,326,326,326,326,326,5676,476,326,526,0
117,80000,1,2,2,26,2,0,0,0,0,0,14029,16630,18186,2000,1700,1000,1000,1000,1000,1
118,400000,1,2,1,34,0,0,0,0,0,0,19660,11867,7959,9677,11867,7839,14837,7959,5712,0
119,240000,2,2,2,38,0,0,0,0,0,0,50254,53015,1203,2000,3000,3000,1307,1203,563,0
120,50000,1,3,2,37,2,2,2,3,2,2,46004,48953,51143,1000,4035,1000,1400,2800,0,1
121,450000,1,1,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
